pub_key,Publisher
pub_704,"Pinkerton, Wagner & McGuigan Lithography"
pub_705,Lithography of Wagner & McGuigan
pub_706,Wagner & McGuigan
pub_707,W.H. Rease
pub_708,T. Sinclair's Lithography
pub_709,W. Stott's Lithography
pub_710,Lithography of T. Sinclair
pub_711,Wagner & McGuigan?
pub_712,Bryson & Cooper
pub_713,Lithography of F. Kuhl
pub_714,J. Childs
pub_715,J.C. Sidney
pub_716,Printed by T. Sinclair
pub_717,Lithography of Wagner & M'Guigan
pub_718,Printed by P. S. Duval
pub_719,Printed by P.S. Duval
pub_720,John N. Henderson
pub_721,Wagner & McGuigan Lithography
pub_722,A. Kollner's Lithography
pub_723,P.S. Duval & Company Lithography
pub_724,"William Spink, William Kneass & Philip R. Engard"
pub_725,Thomas Sinclair
pub_726,Published by J.T. Bowen
pub_727,Printed by P. S. Duval Lithography
pub_728,A.D. Caldwell
pub_729,Thomas Sinclair's Lithography
pub_730,Brett's Lithography Press
pub_731,Job T. Williams
pub_732,Boell & Magee
pub_733,Printed by P.S. Duval & Son
pub_734,P.S. Duval & Son
pub_735,Chromolithography of M. H. Traubel
pub_736,Bowen & Company Lithography
pub_737,L.N. Rosenthal
pub_738,J.G. Simpson
pub_739,Printed by Herline & Company
pub_740,"Schnabel, Finkeldey & Demme's Lithography Institute"
pub_741,L.N. Rosenthal Lithography
pub_742,George G. Heiss
pub_743,Lithography of A. Kollner
pub_744,Lithography of P.S. Duval & Company
pub_745,P. S. Duval & Company Lithography
pub_746,Stayman & Brother
pub_747,"P.S. Duval, Lithographer"
pub_748,A. Kollners Lithography
pub_749,P.S. Duval & Son's Lithography
pub_750,Printed by Traubel & Company
pub_751,"L.N. Rosenthal, Lithographer"
pub_752,P.S. Duval & Son Lithography
pub_753,A. Pharazin
pub_754,Herline & Company Lithography
pub_755,J.L. Magee and A. Pharazyn
pub_756,J.F. Watson's Lithography
pub_757,"Herline & Hensel, Lithographers"
pub_758,Lithography of P.S. Duval & Son
pub_759,F. Bourquin & Company Lithography
pub_760,Hayes & Zell
pub_761,A. Easton's Lithography
pub_762,J. Marsh
pub_763,E. Ketterlinus
pub_764,Lithography by W.H. Rease
pub_765,Wagner & McGuigan's Steam Press
