Creator,creator_id
"Cooper, Fred G. (Frederic Gross), 1883-1962",543
"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron, 1857-1941",544
"Curbella, T.",545
"Krausz, Wilhelm Victor, 1878-1959",546
"Henderson, E.",547
"Lipscombe, Guy, 1881-1952",548
"Gibson, Charles Dana, 1867-1944",549
"Aderente, Vincent, 1880-1941",550
"Romberg de Vaucorbeil, Maurice 1862-1943",551
"Vorkapich, Slavko, 1894-1976",552
"Russo, Giuseppe, 1888-1960",553
"Levy, Alexander Oscar, 1881-1934",554
"Zabel, Lucian, 1893-1936",555
"Feld, Rudi, 1897-1994",556
"Villain, Henri, 1878-1938",557
"Falter, Marcel, born 1866",558
"Steinlen, Théophile Alexandre, 1859-1923",559
"Clausen, George, 1852-1944",560
"Spear, Fred",561
"Paul, Gerd",562
"La Nézière, Joseph de, 1873-1944",563
"Benda, W. T. (Wladyslaw Theodore), 1873-1948",564
"Daugherty, James Henry, 1889-1974",565
"Divéky, Josef von, 1887-1951",566
W.E.T.,567
"Kreutzfeldt, Chr.",568
"Coffin, Haskell, 1878-1941",569
"Jonas, Lucien, 1880-1947",570
"Mourgue, P.",571
"Fouqueray, Charles, 1869-1956",572
"Prouvé, Victor Emile, 1858-1943",573
"Levzow, Wilhelm",574
"Thayer, W.G.",575
"Ashe, Edmund M. (Edmund Marion), 1867-1941",576
"King, Gunning, 1859-1940",577
"Thomas, Bert, 1883-1966",578
"Ogé, Eugéne, 1861-1936",579
"Sem, 1863-1934",580
"Clairin, Georges, 1843-1919",581
"Riemer, Walter",582
"Kemp-Welch, Edith",583
"Johnston, Robert Edwin, 1885-1933",584
"Robinson, Boardman, 1876-1952",585
"Burke, Albert F.",586
"Münzer, Adolf Franz Theodor, 1870-1953",587
"Kirchbach, Fritz Gottfried, 1888-1942",588
"Capranesi, Giovanni, 1852-1925",589
"Mueller, J. Carl",590
"Martiny, Philip, 1858-1927",591
"Sleeper, E.H.",592
"Cissarz, J. V. (Johann Vincenz), 1873-1942",593
"Lenz, Maximilian, 1860-1948",594
"Hoffmann, Anton, 1863-1938",595
"Partridge, Bernard, 1861-1945",596
"Davidson, Jo, 1883-1952",597
"Capon, G.",598
"Wright, Edgar",599
"Kobayashi, Kiyochika, 1847-1915",600
"Utagawa, Kokunimasa, 1874-1944",601
"Utagawa, Yoshitora, flourished 1850-1870",602
"Utagawa, Yoshitomi",603
"Utagawa, Yoshikazu, flourished 1848-1863",604
"Ochiai, Yoshiiku, 1833-1904",605
"Arms, John Taylor, 1887-1953",606
"Sumiyoshi, Hiromori, 1705–1777",607
"Utagawa, Sadahide, 1807-1873",608
"Toyohara, Kunichika, 1835-1900",609
"Yamazaki, Toshinobu, 1857-1886",610
"Hashimoto, Chikanobu, 1838-1912",611
"Castiglione, Giuseppe, died 1616",612
"Sichelbart, Ignatius, 1708-1780",613
"Attiret, Jean-Denis, 1702-1768",614
"Sallusti, Jean-Damascène, died 1781",615
"Todeschino, Giovanni, flourished 1482-1503",616
"Burgkmair, Hans, 1473-1531|Burgkmair, Hans, circa 1500-1559",617
"Dilich, Wilhelm, 1571-1650",618
"Breu, Jörg, 1510?-1547",619
"Plato, Georg Gottlieb, 1710-1777",620
"Furtmeyr, Berthold, flourished 1460-1501",621
"Beck, Leonhard, circa 1480-1542|Burgkmair, Hans, 1473-1531|Schäufelein, Hans, circa 1480-circa 1539",622
"Bocksberger, Hans der Ältere, 1500-1569",623
"Bauer, Ferdinand, 1760-1826",624
"Price, Henry, 1819-1863",625
"Paz, Manuel María, 1820-1902",626
"Fernández, Carmelo, 1809-1887",627
Dharamdās|Farrukh|Ḥusayn Naqqāsh|Khvājah Jān Shīrāzī|Laʿl (Lāl)|Luṭf Allāh Muẕahhib|Manṣūr Naqqāsh|Manūhar|Mukund|Narsing|Sānwalah|Sūrdās Gujarātī|ʿAlīqulī,628
"Moore, Joseph Lieutenant",629
"Prior, Melton, 1845-1910",630
"Gilbert, John, Sir, 1817-1897",631
"Gaspard, Jean-Louis",632
"Clark, I., flourished circa 1824|Hutton, William, 1797-1860",633
"Goupil (Frédéric-Auguste-Antoine), 1817-1878",634
"Angas, George French, 1822-1886",635
"Bernieri, Andrea, flourished 1826-1842",636
"Urio, W.",637
"Bry, Johann-Theodor de, 1561-1623",638
"Wild, J. C. (John Caspar), circa 1804-1846",639
"Krämer, Peter, 1823-1907",640
"Queen, James Fuller, 1820 or 21-1886",641
"Breton, William L., circa 1773-1855",642
"Clay, Edward Williams, 1799-1857",643
"Lehman, George, circa 1800-1870",644
"Swett, Moses, 1804-1838",645
"Mason, William G.",646
"Doughty, Thomas, 1793-1856",647
"Rosienkiewicz, Martin",648
"Weaver, Matthias S., 1815 or 16-1847",649
"Kollner, Augustus, born 1813",650
"Notman, John, 1810-1865",651
"Pinkerton, E. J. (Edward J.), active 1840s",652
"Rease, William H., circa 1818-1893",653
"Hoffy, Alfred M., born circa 1790",654
"Reynolds, Robert F., born circa 1818",655
"Heiss, George G., 1823-circa 1885",656
"Long, Ellwood D.",657
"Mason, S. Rufus",658
"Nicholson, Peter A.",659
"Thoma, Joseph, 1851-1915",660
"Dreser, William, born circa 1820",661
"French, John Taylor, 1822-1852",662
"Smith, B. F. (Benjamin F.), 1830-1927",663
"Whitefield, Edwin, 1816-1892",664
"Kuchel, Charles Conrad, born 1820",665
"Scott, Thomas M.",666
"Sloan, Samuel, 1815-1884",667
"Chillas, David",668
"Rease, William H., circa 1818-1893|Schell, Francis H., 1834-1909",669
"O'Connor, M.",670
"Quintin, David S.",671
"Wagner, T. S. (Thomas S.)",672
